participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
37,1,葛藤あり,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
38,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
42,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
45,1,葛藤あり,行動あり,-1.5,diff,scale,勇気尺度,,
47,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
49,1,葛藤あり,行動あり,0.5000000000000004,diff,scale,勇気尺度,,
52,1,葛藤あり,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
55,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
60,1,葛藤あり,行動あり,-0.5,diff,scale,勇気尺度,,
61,1,葛藤あり,行動あり,-0.666666666666667,diff,scale,勇気尺度,,
63,1,葛藤あり,行動あり,0.3333333333333339,diff,scale,勇気尺度,,
64,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
65,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
66,1,葛藤あり,行動あり,-1.1666666666666665,diff,scale,勇気尺度,,
68,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
69,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
70,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
71,1,葛藤あり,行動あり,-0.8333333333333335,diff,scale,勇気尺度,,
74,1,葛藤あり,行動あり,0.5,diff,scale,勇気尺度,,
75,1,葛藤あり,行動あり,1.5000000000000002,diff,scale,勇気尺度,,
78,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
79,1,葛藤あり,行動あり,0.833333333333333,diff,scale,勇気尺度,,
80,1,葛藤あり,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
81,1,葛藤あり,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
82,1,葛藤あり,行動あり,1.5,diff,scale,勇気尺度,,
86,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
89,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
90,1,葛藤あり,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
91,1,葛藤あり,行動あり,-0.33333333333333304,diff,scale,勇気尺度,,
92,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
93,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
97,1,葛藤あり,行動あり,1.0,diff,scale,勇気尺度,,
98,1,葛藤あり,行動あり,1.3333333333333335,diff,scale,勇気尺度,,
102,1,葛藤あり,行動あり,-0.3333333333333339,diff,scale,勇気尺度,,
106,1,葛藤あり,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
110,1,葛藤あり,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
111,1,葛藤あり,行動あり,0.16666666666666652,diff,scale,勇気尺度,,
112,1,葛藤あり,行動あり,2.1666666666666665,diff,scale,勇気尺度,,
113,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
117,1,葛藤あり,行動あり,1.1666666666666665,diff,scale,勇気尺度,,
121,1,葛藤あり,行動あり,0.0,diff,scale,勇気尺度,,
123,1,葛藤あり,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
2,2,葛藤あり,行動なし,5.0,post,scale,勇気尺度,,
4,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
5,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
6,2,葛藤あり,行動なし,4.333333333333333,post,scale,勇気尺度,,
8,2,葛藤あり,行動なし,1.1666666666666667,post,scale,勇気尺度,,
9,2,葛藤あり,行動なし,4.5,post,scale,勇気尺度,,
11,2,葛藤あり,行動なし,6.166666666666667,post,scale,勇気尺度,,
14,2,葛藤あり,行動なし,5.5,post,scale,勇気尺度,,
16,2,葛藤あり,行動なし,5.833333333333333,post,scale,勇気尺度,,
17,2,葛藤あり,行動なし,4.666666666666667,post,scale,勇気尺度,,
20,2,葛藤あり,行動なし,5.166666666666667,post,scale,勇気尺度,,
22,2,葛藤あり,行動なし,4.833333333333333,post,scale,勇気尺度,,
23,2,葛藤あり,行動なし,6.0,post,scale,勇気尺度,,
24,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
25,2,葛藤あり,行動なし,1.6666666666666667,post,scale,勇気尺度,,
28,2,葛藤あり,行動なし,6.166666666666667,post,scale,勇気尺度,,
29,2,葛藤あり,行動なし,6.5,post,scale,勇気尺度,,
30,2,葛藤あり,行動なし,2.1666666666666665,post,scale,勇気尺度,,
33,2,葛藤あり,行動なし,5.666666666666667,post,scale,勇気尺度,,
34,2,葛藤あり,行動なし,6.5,post,scale,勇気尺度,,
35,2,葛藤あり,行動なし,4.833333333333333,post,scale,勇気尺度,,
37,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
38,2,葛藤あり,行動なし,3.1666666666666665,post,scale,勇気尺度,,
42,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
45,2,葛藤あり,行動なし,3.6666666666666665,post,scale,勇気尺度,,
47,2,葛藤あり,行動なし,5.833333333333333,post,scale,勇気尺度,,
49,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
52,2,葛藤あり,行動なし,4.666666666666667,post,scale,勇気尺度,,
55,2,葛藤あり,行動なし,5.666666666666667,post,scale,勇気尺度,,
60,2,葛藤あり,行動なし,4.833333333333333,post,scale,勇気尺度,,
61,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
63,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
64,2,葛藤あり,行動なし,6.0,post,scale,勇気尺度,,
65,2,葛藤あり,行動なし,2.5,post,scale,勇気尺度,,
66,2,葛藤あり,行動なし,2.6666666666666665,post,scale,勇気尺度,,
68,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
69,2,葛藤あり,行動なし,5.833333333333333,post,scale,勇気尺度,,
70,2,葛藤あり,行動なし,2.8333333333333335,post,scale,勇気尺度,,
71,2,葛藤あり,行動なし,4.666666666666667,post,scale,勇気尺度,,
74,2,葛藤あり,行動なし,5.0,post,scale,勇気尺度,,
75,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
78,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
79,2,葛藤あり,行動なし,3.5,post,scale,勇気尺度,,
80,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
81,2,葛藤あり,行動なし,4.333333333333333,post,scale,勇気尺度,,
82,2,葛藤あり,行動なし,5.0,post,scale,勇気尺度,,
86,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
89,2,葛藤あり,行動なし,7.0,post,scale,勇気尺度,,
90,2,葛藤あり,行動なし,5.5,post,scale,勇気尺度,,
91,2,葛藤あり,行動なし,3.5,post,scale,勇気尺度,,
92,2,葛藤あり,行動なし,5.0,post,scale,勇気尺度,,
93,2,葛藤あり,行動なし,5.333333333333333,post,scale,勇気尺度,,
97,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
98,2,葛藤あり,行動なし,2.5,post,scale,勇気尺度,,
102,2,葛藤あり,行動なし,4.666666666666667,post,scale,勇気尺度,,
106,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
